,City,Hotel_name,Location,Reviews,Star_rating,Actual_price,Discount,Price
0,gurgaon,OYO Flagship 80462 Hotel Jas Inn,"Gurudwara Road, Gurgaon",,NEW,₹2424,75% off,₹599
1,gurgaon,OYO 27864 Hotel Samrat,"Near Bus Stand, Sadar Bazar, Gurgaon",Very Good,4.2,₹2072,75% off,₹514
2,gurgaon,OYO Flagship 703209 The Grand Palm,"near MEDANTA hospital, Gurgaon",,2.8,₹2197,65% off,₹769
3,gurgaon,Collection O 703320 Pacific Homes,"sector 38, Gurgaon",Fair,4.1,₹2912,79% off,₹599
4,gurgaon,OYO Flagship 704000 Blue Heaven,"Gurgaon, Gurgaon",Very Good,NEW,₹3485,84% off,₹549
5,gurgaon,Collection O 79270 Collection O Hotel Aditya Palace,"Sec 17, Gurgaon",Very Good,4.3,₹2102,71% off,₹589
6,gurgaon,OYO Flagship 703990 Hotel Dream View,"Gurugram, Gurgaon",Very Good,NEW,₹2424,74% off,₹616
7,gurgaon,OYO Townhouse KK STAY HOMES,"India Gurgaon HaryanaIndia, Gurgaon",Good,4.2,₹2669,74% off,₹673
8,gurgaon,Capital O 702895 Sagarmatha Hotel near Medanta Hospital,", Gurgaon",Good,3.5,₹2368,72% off,₹663
9,gurgaon,OYO 37096 A2k Residency,"Near Pushpanjali Hospital, Civil Lines, Gurgaon",Very Good,3.9,₹2122,72% off,₹594
10,gurgaon,Capital O 84923 Hotel Crown Inn,"Sector 31, Gurgaon",,4.0,₹2060,69% off,₹621
11,gurgaon,OYO 79192 The Doors,"Sector 14, Gurgaon",Good,3.9,₹2424,73% off,₹638
12,gurgaon,OYO 44130 Hotel Devi Palace Inn,"new railway road ,near sheetla hospital ,subhash nagar gurgaon ",Very Good,4.4,₹1889,72% off,₹529
13,gurgaon,OYO Townhouse 1114 Saltstayz Sec-46,"Sector 46, Gurgaon",Good,3.5,₹2904,68% off,₹915
14,gurgaon,OYO SilverKey 75658 Sector 38,"Near Medanta The Medicity, Sector 38, Gurgaon",Very Good,4.3,₹3804,72% off,₹1065
15,gurgaon,OYO Townhouse 213 Artemis Hospital,"Sector 46, Gurgaon",Very Good,4.3,₹3714,72% off,₹1040
16,gurgaon,OYO Townhouse 283 Saltstayz,"Plot No 75 sector-28, Golf course road",Very Good,4.3,₹4219,71% off,₹1182
17,gurgaon,OYO Flagship 80464J Classic Hotel Sector 14,"Gurugram , Gurgaon",Fair,2.0,₹2424,75% off,₹599
18,gurgaon,OYO 62899 Avni Residency,"Sector 14, Gurgaon",Good,3.9,₹2549,71% off,₹714
19,gurgaon,OYO 10020 Golf Stays,"Near Shiv Nadar School, DLF Phase 1, Gurgaon",Good,3.9,₹2052,73% off,₹534
20,gurgaon,OYO 26868 Wonderland Inn,"Sector 24, Gurgaon",Fair,2.4,₹2150,76% off,₹497
21,gurgaon,OYO Townhouse 398 Cloud Bay,"Sector 69 Nearby Tulip White Society, Gurgaon",,4.7,₹4231,71% off,₹1185
22,gurgaon,OYO Townhouse 513 Hotel Skylight,"Near Medanta Hospital Sector 38,Gurgaon",Excellent,4.5,₹4159,64% off,₹1456
23,gurgaon,OYO Flagship 704000 Blue Heaven,"Gurgaon, Gurgaon",Excellent,NEW,₹3485,84% off,₹549
24,gurgaon,Capital O 325 Hotel Silver Star,"Near Medanta Hospital, Medicity, Gurgaon",Good,3.8,₹2356,78% off,₹497
25,gurgaon,OYO Townhouse 755 Hotel Maharaja,"Sector 38, Gurgaon",Excellent,4.5,₹3765,64% off,₹1318
26,gurgaon,OYO 91606 Hotel Daffodils Inn,"Sector 47 Gurgaon, Gurgaon",Fair,3.4,₹1817,72% off,₹497
27,gurgaon,OYO 79192 The Doors,"Sector 14, Gurgaon",Good,3.9,₹2424,73% off,₹638
28,gurgaon,Capital O 71276 Hotel Bms,"Near Unitech Cyber Park, South City -1, Gurgaon",,3.4,₹2204,77% off,₹505
29,gurgaon,OYO 42214 Hotel Grand Casa,"Near DLF Phase 3, V Block, Gurgaon",Fair,3.5,₹2348,76% off,₹549
30,gurgaon,OYO Townhouse 283 Saltstayz,"Plot No 75 sector-28, Golf course road",Good,4.3,₹4219,71% off,₹1182
31,gurgaon,OYO 91814 The Majestic Residency,"Gurgaon, Gurgaon",Very Good,3.3,₹2077,73% off,₹559
32,gurgaon,Collection O 87877 Prince Palace,"Sector 52, Gurgaon",Fair,3.8,₹1867,65% off,₹653
33,gurgaon,OYO 8240 Maan Residency ,"Near Bestech Park View, Block C 2, Gurgaon",Good,4.2,₹2424,77% off,₹542
34,gurgaon,OYO 26674 The Primero,"Near Mg Metro Station, Sector 25, Gurgaon",Very Good,3.5,₹2377,78% off,₹505
35,gurgaon,Collection O 79127 Collection O Green Plaza,"Sector 10, Gurgaon",Good,3.5,₹2412,71% off,₹682
36,gurgaon,OYO Townhouse 024 Sector 47 Gurgaon,"Near Bakhtawar Chowk, Huda Colony, Gurgaon",Good,4.4,₹4179,72% off,₹1170
37,gurgaon,OYO 83393 Ashoka Inn ,"India, Gurgaon",Very Good,3.5,₹2368,72% off,₹663
38,gurgaon,OYO Townhouse 285 Saltstayz,"Near Medanta, Jharsa Village, Gurgaon",Good,4.2,₹4057,72% off,₹1136
39,gurgaon,OYO 32589 Sky Hotel,"Near Gurgaon Railway Station, Block B, Gurgaon",Very Good,4.1,₹2506,78% off,₹541
40,gurgaon,OYO Townhouse 003 Sohna Road,"Near Metro station, Uppal Southend, Gurgaon",Very Good,3.9,₹3885,71% off,₹1088
41,gurgaon,"OYO Townhouse 219, Sector 49, Gurgaon","Near Omax MAll, Uppal Southend, Gurgaon",Good,4.8,₹4628,72% off,₹1296
42,gurgaon,Capital O 84923 Hotel Crown Inn,"Sector 31, Gurgaon",,4.0,₹2060,69% off,₹621
43,gurgaon,OYO 37096 A2k Residency,"Near Pushpanjali Hospital, Civil Lines, Gurgaon",Excellent,3.9,₹2122,72% off,₹594
44,gurgaon,OYO 74812 Tipsyy Inn,"Near DLF 5, Sector 53, Gurgaon",Very Good,3.5,₹2685,83% off,₹449
45,gurgaon,Collection O 79067 Collection O,"Gurgoan, Gurgaon",Good,4.1,₹2878,71% off,₹806
46,gurgaon,OYO 92302 Himalya Guest House,"Sector 31, Gurgaon",,3.6,₹1775,69% off,₹549
47,gurgaon,OYO SilverKey 75658 Sector 38,"Near Medanta The Medicity, Sector 38, Gurgaon",,4.3,₹3804,72% off,₹1065
48,gurgaon,Flagship 700900 Delite Hotel,"atul kataria chowk, Gurgaon",Good,3.8,₹1775,68% off,₹559
49,gurgaon,POP 89779 Garden View Hotel And Restaurant,"Sector 34, Gurgaon",Very Good,3.3,₹1775,68% off,₹559
50,gurgaon,OYO 85147 Royal Residency,"Sector 5, Gurgaon",Good,3.3,₹1789,68% off,₹564
51,gurgaon,SPOT ON 77870 Maa Gayatri Guest House,"Gurugram, Gurgaon",Very Good,4.2,₹1861,72% off,₹521
52,gurgaon,OYO Townhouse 101 Golf Course Road,"Near sector 27, Urban Estate, Gurgaon",Good,4.4,₹4531,71% off,₹1269
53,gurgaon,OYO 93193 Hotel Smart Plaza,"Near Axis Bank A t m Opposite Side, Gurgaon",Fair,1.8,₹1775,68% off,₹559
54,gurgaon,Capital O 79081 Tipsyy 007,"Near 64-A, Sector 53, Gurgaon.",Fair,4.3,₹3577,65% off,₹1252
55,gurgaon,Capital O 805255 Tipsyy Inn 012,"India, Gurgaon",Very Good,NEW,₹2617,80% off,₹499
56,gurgaon,OYO Townhouse 213 Artemis Hospital,"Sector 46, Gurgaon",Very Good,4.3,₹3714,72% off,₹1040
57,gurgaon,Capital O 29330 Esscon House,"Centrally Located, Near Ansal Plaza, Carterpuri Village, Gurgaon",,4.1,₹3194,72% off,₹894
58,gurgaon,Collection O 76097 Hotel Moonlight,"Near Vyapar Kendra, B Block, Gurgaon",Fair,4.2,₹2922,64% off,₹1023
59,gurgaon,OYO 62899 Avni Residency,"Sector 14, Gurgaon",Very Good,3.9,₹2549,71% off,₹714
60,gurgaon,OYO 48746 Manil residency,"Near Artemis Hospital, Indira Colony, Gurgaon",Very Good,3.7,₹1932,73% off,₹509
61,gurgaon,OYO Flagship 702726 Babil Palace,"Islampur Colony, Gurgaon",Very Good,NEW,₹1761,72% off,₹493
62,gurgaon,Flagship 93472 The Shan Hotel,"Near Lotus Hospital, Gurgaon",Very Good,3.9,₹2424,76% off,₹559
63,gurgaon,Collection O 302 Platinum Sqs Key,"94 P BLOCK, SECTOR 41 part 1",Good,4.1,₹3232,72% off,₹905
64,gurgaon,Collection O 703320 Pacific Homes,"sector 38, Gurgaon",Good,4.1,₹2912,79% off,₹599
65,gurgaon,OYO 703314 Kk Residency,"Flat number 13 jharsa road civil line nearby park in Gurgaon, Gurgaon",Good,NEW,₹2339,72% off,₹655
66,gurgaon,OYO 350 The Orange Hotel,"gurgaon.  Near bakthawar chowk., Gurgaon",Very Good,3.5,₹2498,75% off,₹616
67,gurgaon,OYO 63251 Friends Harsh Villa,"Near Govt. Girls College, Old DLF Colony, Gurgaon",Very Good,3.9,₹2524,68% off,₹795
68,gurgaon,SPOT ON 46088 Hotel Black,"Near Tau Devi Lal Sports Complex, Gurgaon",Good,2.4,₹1428,64% off,₹500
69,gurgaon,OYO Flagship 14895 Hotel Stay Inn,"Near Star Mall, Jal Vayu Vihar, Gurgaon",,3.9,₹2498,78% off,₹549
70,gurgaon,OYO 71396 Welcome Residency,"Near Maruti Suzuki, Noble Enclave, Gurgaon",Good,4.4,₹2744,72% off,₹768
71,gurgaon,SPOT ON 89541 Saini Vasno Restaurant And Guest House,"Near Imli Kheda Nagar Panchayat, Gurgaon",Fair,5.0,₹2495,65% off,₹873
72,gurgaon,OYO 9381 Dlf Cyber City,"UJ Tower, Sikandarpur, Piller No-48 Near Dronacharaya Metro Gurgaon",Good,3.6,₹2495,71% off,₹699
73,gurgaon,OYO Townhouse KK STAY HOMES,"India Gurgaon HaryanaIndia, Gurgaon",Very Good,4.2,₹2669,74% off,₹673
74,gurgaon,Capital O 804474 Pantao Stays South City 1,"Gurgaon, Gurgaon",,NEW,₹3858,84% off,₹599
75,gurgaon,Capital O 30407 Hey Stay,"Near Cyber Park, Unitech Cyber Park, Gurgaon",Good,2.0,₹3979,64% off,₹1393
76,gurgaon,OYO 92369 Rp Residency,"Near Huda Park, Gurgaon",Very Good,3.5,₹1794,69% off,₹549
77,gurgaon,Capital O 88255 Tipsyy Inn Suites 002,"101301, Gurgaon",Fair,4.0,₹3924,65% off,₹1373
78,gurgaon,Capital O 18693 Hotel Levanti,"Near DLF Phase 3, U Block, Gurgaon",Good,4.1,₹3952,71% off,₹1107
79,gurgaon,Townhouse OAK Saltstayz,"Sector 52, Gurgaon",,4.3,₹3894,72% off,₹1090
80,gurgaon,OYO 90231 Happy Feet,"V-16/1, DLF Phase III,Sector 24,Gurgaon",Very Good,3.6,₹1895,65% off,₹663
81,gurgaon,OYO 10758 Downtown Inn,"Near Payal Cinema, Sector 14, Gurgaon",Very Good,3.4,₹2665,72% off,₹746
82,gurgaon,Collection O 701046 Jbf Residency,"Koyal Vihar, Gurgaon",Very Good,4.1,₹2354,74% off,₹599
83,gurgaon,OYO 531 Hotel Cyber Inn,"Near Bus Stand, Prem Nagar, Gurgaon",Good,3.7,₹2518,72% off,₹705
84,gurgaon,Flagship 73770 Maurya Residency,"Near Rezang La Chowk, Carterpuri Village, Gurgaon",Fair,3.9,₹2302,71% off,₹645
85,gurgaon,Flagship 700795 Pl Residency,"Gurgaon, Gurgaon",Very Good,4.5,₹3871,65% off,₹1355
86,gurgaon,OYO 700125 Yeti Inn Hotel,"Jharsa Village, Gurgaon",Good,4.2,₹2432,75% off,₹599
87,gurgaon,Flagship 83164 Hotel Grand Inn,"Sector 41, Gurgaon",Good,3.6,₹2517,68% off,₹793
88,gurgaon,OYO 80528F Khatri Hotel,"Gandhi Nagar, Gurgaon",Excellent,NEW,₹2064,65% off,₹722
89,gurgaon,Collection O 75312 ,"Sector 45, Gurgaon",Very Good,3.7,₹2408,72% off,₹671
90,gurgaon,TOWNHOUSE 1167 Gold Souk,"Behind Gold Souk Mall, Near Huda Metro Station",Good,4.7,₹3459,64% off,₹1211
91,gurgaon,OYO Townhouse 349 Unitech Cyber Park Gurgaon,"Near Bakhtawar Chowk, Huda Colony, Gurgaon",Good,3.9,₹3928,64% off,₹1375
92,gurgaon,Collection O 10200 The Urban Stays 18,"Near Netaji Subhash Marg, Huda Colony, Gurgaon",Excellent,4.4,₹4497,65% off,₹1574
93,gurgaon,OYO Townhouse 069 Civil Lines,"Plot No.28/18,New Friends Colony,Sector 15, Gurugram",Good,4.2,₹3584,65% off,₹1254
94,gurgaon,OYO Townhouse 347 Near Bus Stand,"Near Hp Petrol Pump, West Rajiv Nagar, Gurgaon",Very Good,3.7,₹2322,64% off,₹813
95,gurgaon,OYO 10877 Hotel R K Residency,"Near Basai Chowk, Basai, Gurgaon",Very Good,3.7,₹3145,64% off,₹1101
96,gurgaon,Collection O 805384 Ramjas Star Residency ,"South City I, Gurgaon",Good,NEW,₹1761,68% off,₹555
97,gurgaon,Collection O 703676 Hotel Au Residency,"Gurgaon, Gurgaon",Good,NEW,₹3002,64% off,₹1051
98,gurgaon,Collection O  74498 PARADISE_FRANCHISE,"Near Artemis Hospital, Sector 51, Gurgaon",Very Good,4.2,₹2773,71% off,₹799
99,gurgaon,OYO Townhouse 166 Saltstayz,"Near Medanta Hospital, Sector 38, Gurgaon",Good,3.8,₹3714,65% off,₹1300
100,lucknow,SPOT ON 66997 Jc Guest House,"Near Ram Krishna Matt, Lucknow",Excellent,4.7,₹2065,67% off,₹663
101,lucknow,OYO Flagship 703049 Hotel Park Avenue,"Charbaghnull, Lucknow",Very Good,4.0,₹2264,68% off,₹713
102,lucknow,Collection O 90957 Hotel Premier,"Lalbagh, Lucknow",Good,3.8,₹2322,75% off,₹568
103,lucknow,OYO Flagship 704048 Hotel Vills,"26/103 gokhle vihar marg, Lucknow",Excellent,NEW,₹2350,73% off,₹616
104,lucknow,OYO Flagship 703194 NeelKanth Hotel,"Udaiganj, Lucknow",Very Good,4.6,₹2368,72% off,₹663
105,lucknow,Flagship 77835 Hotel Maa Arya,"Chota Gurudwara, Lucknow",,4.0,₹2512,71% off,₹704
106,lucknow,SPOT ON 703315 Hotel 12 Jyotirlingam Hotel &lawn,"Devpur, Lucknow",,5.0,₹1905,68% off,₹599
107,lucknow,OYO 8379 Hotel Kamal,"Near Punjab National Bank, Hussain Ganj, Lucknow",Good,3.6,₹2138,73% off,₹562
108,lucknow,OYO 22662 Hotel Shivam,"Charbagh, Lucknow",Good,3.6,₹2745,71% off,₹769
109,lucknow,SPOT ON 703244 M V Room's & Banquet,"Hari Om Nagar, Lucknow",,5.0,₹2018,72% off,₹549
110,lucknow,Townhouse OAK Hind Palace,"Near bhoothnath, Indira Nagar, Lucknow",,4.5,₹5474,71% off,₹1533
111,lucknow,Townhouse 1157 Hotel Relax Inn,"Gomti Nagar, Lucknow",Excellent,4.2,₹2898,71% off,₹812
112,lucknow,OYO Flagship 703997 Hotel Victory,"Opposite FI School of nursing Burlington crossing, Lucknow",Very Good,3.6,₹1946,66% off,₹646
113,lucknow,Capital O 84344 Hotel Vills,"Sadar, Lucknow",Good,3.5,₹2665,85% off,₹399
114,lucknow,OYO Flagship 804536 Dream Connect,Behind Hygia Institute,Good,4.6,₹1761,68% off,₹555
115,lucknow,OYO Townhouse 403 Veridian,"Near Viraj Khand, Gomti Nagar, Lucknow",Excellent,4.8,₹4317,71% off,₹1209
116,lucknow,Flagship 92315 Khushboo International Hotel,"Vrindavan, Lucknow",Excellent,3.6,₹2184,72% off,₹599
117,lucknow,POP 80507J Grand Inn,"Udaiganj, Lucknow",Good,NEW,₹1944,65% off,₹680
118,lucknow,OYO 702340 Palassio Inn,"Krishna Nagar Lucknow, Lucknow",,4.0,₹1761,72% off,₹493
119,lucknow,Collection O 74687 Insight Inn,"Vibhuti Khand, Gomti Nagar, Lucknow",Very Good,4.0,₹2848,71% off,₹798
120,lucknow,OYO 69429 Hotel Vimal Residency,"Near Madhav Market, Charbagh, Lucknow",Very Good,4.2,₹2899,71% off,₹812
121,lucknow,SPOT ON 703315 Hotel 12 Jyotirlingam Hotel &lawn,"Devpur, Lucknow",Very Good,5.0,₹1905,68% off,₹599
122,lucknow,Flagship 76590 Laavin Inn,"Near Lekhraj Metro station, Sanjay Gandhi Puram, Lucknow",,4.3,₹4565,72% off,₹1278
123,lucknow,Flagship 43119 Avadh Court Guest House,"Near Patrakarpuram Chaueraha, Gomti Nagar, Lucknow",Very Good,3.6,₹2758,78% off,₹599
124,lucknow,OYO Flaghsip 805200 Hotel Ge 9,"1/25 Cantonment Road Near Lalbagh Marriage Hall Cantt Road, Lucknow",Good,NEW,₹1761,68% off,₹555
125,lucknow,OYO 68040 Hotel Aastha,"Near Transport Nagar Metro Station, Labour Chowk, Lucknow",Excellent,4.5,₹2031,72% off,₹568
126,lucknow,Flagship 80874 Hotel Moon Palace,"Sadar, Lucknow",Very Good,4.0,₹3008,68% off,₹948
127,lucknow,OYO 702674 Hotel Avadh,"Arya Nagar, Lucknow",Very Good,NEW,₹1761,68% off,₹549
128,lucknow,OYO Flagship 66107 Just-9 Inn,"Lalkuan Road Lucknow, Lucknow",,4.2,₹2389,68% off,₹753
129,lucknow,OYO 701748 Lemon Wood,"Hariharpur Road Opp. Medanta Hospital, Lucknow",,4.9,₹2146,77% off,₹493
130,lucknow,OYO Flagship 702640 Amity Inn,"Gomti Nagar, Lucknow",Excellent,NEW,₹1789,72% off,₹501
131,lucknow,OYO Townhouse 1094 North Inn,"Faizabad Road, Lucknow",Good,4.6,₹2847,72% off,₹797
132,lucknow,OYO Flagship 703997 Hotel Victory,"Opposite FI School of nursing Burlington crossing, Lucknow",,3.6,₹1946,66% off,₹646
133,lucknow,OYO Flagship 804536 Dream Connect,Behind Hygia Institute,,4.6,₹1761,68% off,₹555
134,lucknow,POP 80507J Grand Inn,"Udaiganj, Lucknow",Excellent,NEW,₹1944,65% off,₹680
135,lucknow,Capital O 85097 Hotel Kpr Inn,"2/298 Vivek Khand Gomti Nagar Lucknow, Lucknow",Good,3.8,₹1804,68% off,₹568
136,lucknow,OYO 83366 Hotel Sna Grand,"Opp Shringaar Villa, Lucknow",,4.0,₹1875,57% off,₹799
137,lucknow,OYO Townhouse 565 Hotel Hridaya Inn,"B1/301, SECTOR-G, SAHARA STATE ROAD, NEAR ICON HOSPITAL, JANKIPURAM, LUCKNOW. ",Very Good,4.5,₹3772,72% off,₹1056
138,lucknow,OYO 86476 Roister Inn,"New Defence Colony, Lucknow",Excellent,4.4,₹2187,74% off,₹568
139,lucknow,OYO Flagship 29682 Hotel Alpine Inn,"Vikas Nagar, Lucknow",Very Good,2.9,₹2380,73% off,₹621
140,lucknow,OYO Townhouse 702 Kachnar House Vikas Nagar,"Near Vikas Nagar Post Office, Sector 2, Lucknow",Fair,4.3,₹4539,72% off,₹1271
141,lucknow,Capital O 60341 Seven Wonders Inn,"Near Hussainganj Chauraha, Udaiganj, Lucknow",Very Good,3.9,₹3988,71% off,₹1117
142,lucknow,OYO LCK1265 Shanti Kuti Home Stay,45A Laxmanpuri Indiranagar Lucknow,Good,3.7,₹2348,68% off,₹740
143,lucknow,Collection O 74687 Insight Inn,"Vibhuti Khand, Gomti Nagar, Lucknow",Good,4.0,₹2848,71% off,₹798
144,lucknow,SPOT ON 70311 Rangoli Palace,"Near Khurram Nagar chauraha, Lucknow",Very Good,4.2,₹1454,72% off,₹404
145,lucknow,OYO 90894 Hotel Oyo Sky Hills,Hotel S.K.Y godaura Bharat petrol pump Lucknow,Very Good,4.0,₹2187,81% off,₹399
146,lucknow,OYO 12758 Hotel Greenview Inn,"Indira Nagar, Lucknow",Very Good,4.3,₹2821,66% off,₹949
147,lucknow,Townhouse 1157 Hotel Relax Inn,"Gomti Nagar, Lucknow",Very Good,4.2,₹2898,71% off,₹812
148,lucknow,Collection O 83588 Golden Galaxy Inn,"Chinhat, Gomti Nagar, Lucknow",Very Good,4.5,₹3238,65% off,₹1133
149,lucknow,OYO Townhouse 311 Prithvi Resort,"Near Ekana Stadium, Gomtinagar Ext., Lucknow",Excellent,4.4,₹4688,65% off,₹1641
150,lucknow,OYO 63611 Rajeshwari Marriage Lawn,"Near Prabhat Chauraha, Jankipuram, Lucknow",Very Good,4.0,₹2008,72% off,₹562
151,lucknow,OYO 29134 Virasat Guest House,"Gomti Nagar, Lucknow",Very Good,4.3,₹4337,72% off,₹1214
152,lucknow,OYO 702340 Palassio Inn,"Krishna Nagar Lucknow, Lucknow",,4.0,₹1761,72% off,₹493
153,lucknow,OYO Townhouse 1032 The Silver,"Sadar, Lucknow",Very Good,3.6,₹3083,80% off,₹602
154,lucknow,OYO Flagship 703204 Hotel Quirk,"Gomti Nagar extension Sadar tahsil Sai Mandir road, Lucknow",Very Good,4.4,₹2761,65% off,₹966
155,lucknow,OYO 87826 Hotel Clarke Inn,"Near Tempo Stand, Lucknow",Good,3.4,₹1875,76% off,₹449
156,lucknow,OYO Home 91033 Home Stays,"Jankipuram, Lucknow",Very Good,3.8,₹1792,68% off,₹565
157,lucknow,Flagship 92689 Paradise Shanti Inn,"Krishna Nagar, Lucknow",Fair,3.2,₹2157,74% off,₹549
158,lucknow,OYO 80531A Hotel Budget Inn,"Indira Nagar metro station, Lucknow",Good,NEW,₹1934,68% off,₹609
159,lucknow,Collection O 87450 Hotel Olivia In,"Sadar, Lucknow",,3.9,₹1804,72% off,₹505
160,lucknow,Flagship 93456 Hotel Kps Inn,"Matiyari Gaon Road, Lucknow",Fair,3.5,₹1775,68% off,₹559
161,lucknow,OYO Townhouse 418 Rama Inn.,Near by Polytechnic Indira Nagar Sector 8,Good,4.3,₹5751,72% off,₹1610
162,lucknow,Collection O 76477 M V Inn,"Near Ambedkar University, Lucknow",Good,3.2,₹1818,68% off,₹573
163,lucknow,OYO 75844 Hotel Urmila Sadan,"Near Rail vihar colony , Malhour, Lucknow",Very Good,3.6,₹2200,74% off,₹564
164,lucknow,OYO 92394 Ashiyana Guest House,"Sec-L LDA Colony, Lucknow",Fair,2.4,₹2345,72% off,₹649
165,lucknow,Flagship 81649 Hotel Indigo Palace,"Lucknow, Lucknow",Good,3.8,₹1883,69% off,₹568
166,lucknow,OYO 85793 Divyata Pride Jankipuram,"Lucknow Sadar, Lucknow",Fair,3.8,₹1875,69% off,₹568
167,lucknow,OYO Flagship 60739 Vedanta Rass Residency,"Near Medanta Hospital, Shaheed Path, Lucknow",Good,4.2,₹2368,72% off,₹663
168,lucknow,Capital O 81995 Hotel Sms,"226028, Lucknow",,3.5,₹2155,73% off,₹567
169,lucknow,OYO 28383 Mohit International 2,"Near Micro mall,Gomti Nagar, Lucknow",Good,3.9,₹2030,72% off,₹555
170,lucknow,Capital O 89493 Hotel Holidays Inn And Banquet,"SM Tower ,Second Floor ,Near Sanatan Ashram ,Kursi Road ",Very Good,4.6,₹3559,64% off,₹1246
171,lucknow,Flagship 5011 Hotel De Park Inn,"Viraj khand road, vigyan khand , Lucknow",Good,3.8,₹2484,77% off,₹555
